Category,Architect,Building,Place,Era,Image0,Image1,Image2,Image3,Dummy
Renaissance,Donato Bramante,Tempietto,Rome,1502,Week1.2_Page_05.jpg,,,,
Renaissance,Filippo Brunelleschi,The Basilica di San Lorenzo,Florence,1456-7,Week1.2_Page_03.jpg,,,,
Renaissance,Leon Battista Alberti,S. Maria Novella,Florence,1421,Week1.2_Page_06.jpg,,,,
Baroque Italy,Gianlorenzo Bernini,Baldacchino,Rome,1624-33,Week1.2_Page_23.jpg,,,,
Baroque Italy,Gianlorenzo Bernini,Fountain of Four Rivers,Rome,1648-51,Week1.2_Page_21.jpg,,,,
Baroque Italy,Gianlorenzo Bernini,S. Andrea al Quirinale (Church of Jesuits),Rome,1658-70,Week1.2_Page_25.jpg,Week1.2_Page_26.jpg,Week1.2_Page_27.jpg,,
Baroque Italy,Carlo Rainaldi and Gianlorenzo Bernini,Piazza del Popolo,Rome,1662-79,Week1.2_Page_18.jpg,Week1.2_Page_19.jpg,,,
Baroque Italy,Bernini and Borromini,Piazza Navona,Rome,1644,Week1.2_Page_20.jpg,,,,
Baroque Italy,Francesco Borromini,Church of S. Agnes,Rome,1653-1657,Week1.2_Page_29.jpg,,,,
Baroque Italy,Francesco Borromini,San Carlo alla Quratro Fontane,Rome,1638-1641,Week1.2_Page_30.jpg,Week2.1.003.jpg,,,
Baroque Italy,Pietro da Cortona,Santa Maria della Pace,Rome,1656-59,Week2.1.008.jpeg,Week2.1.009.jpeg,,,
Baroque France,Louis Le Vau,Chateau of Vaux-le-Vicomte,Maincy,1656-61,Week2.2_BaroqueSpread_IntroNeoClass_Page_18.jpg,Week2.2_BaroqueSpread_IntroNeoClass_Page_19.jpg,,,
Baroque France,Louis le Vau,Chateau of Versailles,Versailles,1668,Week2.2_BaroqueSpread_IntroNeoClass_Page_20.jpg,Week2.2_BaroqueSpread_IntroNeoClass_Page_21.jpg,Week2.2_BaroqueSpread_IntroNeoClass_Page_25.jpg,,
Baroque France,Jules Hardouin Mansart & Charles le Brun,Hall of Mirrors (Galerie des Glas),Versailles,1678-1684,Week2.2_BaroqueSpread_IntroNeoClass_Page_28.jpg,,,,
Baroque France,Salomon de Brosse,St.‐Gervais,Paris,1616,Week2.1.027.jpeg,,,,
Baroque France,Jules Hardouin Mansart,Val-de-Grace,Paris,1644-46,Week2.1.033.jpeg,Week2.1.039.jpeg,Week2.2_BaroqueSpread_IntroNeoClass_Page_10.jpg,,
Baroque Europe,Johann Bernhard Fischer von Erlach,Karlskirche,Vienna,1716-1725,Week2.1.019.jpeg,Week2.1.018.jpeg,Week2.1.017.jpeg,,
Baroque Europe,Christopher Wren,Great Model St Paul’s cathedral,London,1673,Week2.2_BaroqueSpread_IntroNeoClass_Page_38.jpg,Week2.2_BaroqueSpread_IntroNeoClass_Page_34.jpg,,,
Late Baroque / Rococo,Dominikus Zimmerman,Die Wies,Bavaria,1746-54,Week2.1.022.jpeg,,,,
French Rationalism,Claude Perrault,Ordannance for the five kinds of columns after the method of the Ancients,,1683,Week2.2_BaroqueSpread_IntroNeoClass_Page_49.jpg,,,,
French Rationalism,Jacques-François Blondel,The Five Orders of Architecture,,1771,Week2.2_BaroqueSpread_IntroNeoClass_Page_45.jpg,Week2.2_BaroqueSpread_IntroNeoClass_Page_46.jpg,,,
French Rationalism,Marc-Antoine Laugier,Primitive Hut (Essay on Architecture),,1753,Laugier-primitivehut-01.jpg,,,,
Archaeology and Antiques ,Le Roy,Etching - Les Ruines des plus Beaux Monuments de la Grèce,,1758,Week3_Page_27.jpg,Week3_Page_28.jpg,,,
Visionary Architecture,G.B. Piranesi,Le antichità romane ,Unbuilt,1756,Week3.2_Enlight_VisionaryArchitect_Page_21.jpg,,,,
Visionary Architecture,G.B. Piranesi,Carceri d’invenzione,Unbuilt,1745‐1761,Week3.2_Enlight_VisionaryArchitect_Page_25.jpg,,,,
Visionary Architecture,Étienne-Louis Boullée,Cenotaphe to Newton,Unbuilt,1784,Week3.2_Enlight_VisionaryArchitect_Page_28.jpg,,,,
Visionary Architecture,Claude-Nicolas Ledoux,Saline de Chaux (The Royal Saltworks),Montmorot,1775-79,Week3.2_Enlight_VisionaryArchitect_Page_31.jpg,Week3.2_Enlight_VisionaryArchitect_Page_33.jpg,Week3.2_Enlight_VisionaryArchitect_Page_34.jpg,,
Visionary Architecture,Soufflot,St. Genevieve,Paris,1756-90,week4.1_Page_05.jpg,week4.1_Page_07.jpg,week4.1_Page_08.jpg,week4.1_Page_10.jpg,
Picturesque,Lancelot `Capability` Brown,Blenheim Palace ,Oxfordshire England,1764,week4.2_Pict_Type_Page_13.jpg,,,,
Picturesque,William Kent and Charles Bridgeman,Stowe,Buckinghamshire England,1715‐45,week4.2_Pict_Type_Page_06.jpg,,,,
France: Revolution and the Public,Charles de Wailly,Grande Galerie for the Louvre,Paris,1785,week4.2_Pict_Type_Page_21.jpg,,,,
